image,question_1,question_2,question_3,question_4,question_5,answer
,What should I do if my set-top box won't turn on?,the power won't come on,my box won't switch on,no lights on the set-top box,I press the power button but nothing happens,"Check that the power adapter is firmly connected to both the mains socket and the back of the set-top box. If you're using a power strip, check its power switch, then unplug the power cable and reconnect it after 10 seconds. If the power indicator still doesn't light up, the unit will need to be checked by our support team."
,What should I do if my set-top box keeps restarting?,the box keeps turning off and on,it restarts during boot,it keeps rebooting,the power comes on and immediately goes off again,"Check the power cable and adapter connections, and make sure there is enough ventilation around the set-top box. If it is overheating, switch it off and let it cool for 5 minutes before turning it back on. If the same problem persists, the power adapter or device may need to be inspected."
,What should I do if the power light is on but the TV screen is blank?,the power is on but no picture,the box light is on but the TV is black,it seems to have booted but there's no picture,the power is fine but no input signal,"Make sure the TV's external input is set to the HDMI port where the set-top box is connected. Unplug and replug the HDMI cable, then restart both the TV and the set-top box. If the screen is still blank, try a different HDMI port or cable."
,What should I do when the TV displays 'No Input Signal'?,it says no input signal,no signal is showing,the TV says there's no signal,HDMI no signal message,"Press the external input button on the TV remote and select the HDMI input where the set-top box is connected. Check that the HDMI cable is not loose, then switch the set-top box off and back on. If you have multiple HDMI ports, try a different one."
,What should I do if the picture freezes or breaks up?,the picture has frozen,the image is breaking up,the screen is stuttering,the channel keeps freezing mid-playback,"Restart the set-top box and router in sequence. Unplug the router, wait 10 seconds, plug it back in, and once your internet connection is restored, restart the set-top box. If the problem only occurs on a specific channel or app, it may be a service outage."
,What should I do if the screen is black but I can hear audio?,there's sound but the screen is black,just a black screen,I can hear the audio but there's no picture,the screen looks as if it's turned off,"Check the HDMI cable connection and the TV's external input setting. The set-top box resolution may be set to a value the TV doesn't support — restart the set-top box and reset the display settings to default. If the problem continues, try a different HDMI cable."
,What should I do if the picture doesn't fit the TV screen?,the picture is being cut off,it doesn't fit the TV,the sides are cropped,it looks like overscan,"Check the aspect ratio or resolution setting in the set-top box menu. Also check the TV's picture size, overscan, and native picture mode settings. If the picture is still cropped after making changes, restart both devices."
,What should I do if UHD or 4K picture quality is not showing?,it's not showing in 4K,UHD picture isn't available,I can't get high definition,the resolution looks low,"Check whether your TV and HDMI cable support UHD or 4K. In the set-top box display settings, set the resolution to Auto or 4K and connect to a 4K-compatible HDMI port. Note that if the content itself doesn't support UHD, it will play in standard quality."
,What should I do if my set-top box won't connect to Wi-Fi?,I can't connect to Wi-Fi,wireless internet isn't working,the Wi-Fi password isn't being accepted,I can't connect to the router,"Check that Wi-Fi is enabled in the set-top box settings, then re-enter the router name and password. If the router is too far away, move closer and try again. If it still fails, restart the router and attempt to reconnect."
,What should I do if the internet connection keeps dropping?,the internet keeps cutting out,the connection drops while I'm watching,Wi-Fi is unstable,the network keeps disconnecting,"Restart the router and set-top box, and where possible connect via a wired ethernet cable to check stability. If using Wi-Fi, reduce obstructions between the router and set-top box, and choose the more stable band between 5 GHz and 2.4 GHz."
,What should I do if a wired LAN connection isn't working?,the ethernet cable isn't connecting,wired internet isn't working,ethernet isn't being detected,the LAN cable is plugged in but there's no connection,"Make sure the ethernet cable is firmly plugged into both the router and the set-top box. Try a different port or replace the cable. If the problem persists after restarting the router, the broadband line or equipment may need to be checked."
,What should I do if an app opens but video won't play?,the app opens but video won't load,Netflix opens but won't play,YouTube opens but videos won't start,only the video won't play,"First check your internet connection, then restart the set-top box and router. If the problem is limited to one app, close it fully and reopen it, and check for any available updates. If playback fails across multiple apps, a network outage is likely."
,What should I do if video keeps buffering?,there's lots of buffering,video keeps cutting out,it's slow to start playing,HD content keeps loading,"Check whether multiple devices are using the internet at the same time. If using Wi-Fi, move the set-top box closer to the router or connect via ethernet. If buffering only occurs with high-definition content, try lowering the quality as a temporary fix."
,What should I do if the remote control buttons aren't working?,the remote isn't working,I press buttons but nothing happens,the remote control isn't responding,I can't control it with the remote,"Replace the remote control batteries with new ones and check that the set-top box is switched on. Remove any objects blocking the IR receiver on the front of the set-top box. If it's a Bluetooth remote, it may need to be paired again."
,What should I do if remote control pairing fails?,the remote won't connect,my Bluetooth remote won't register,pairing keeps failing,the remote isn't being recognised,"Place the remote close to the set-top box and press the pairing button combination again. If the connection has become confused, restart the set-top box and try pairing again. Low battery charge can also cause pairing to fail, so try new batteries."
,What should I do if the remote control won't turn on the TV?,the remote won't switch the TV on,the TV power button does nothing,the integrated power control isn't working,the set-top remote won't turn on the TV,The remote may be set to control only the set-top box power. Check the TV power control or universal remote settings in the set-top box menu. Note that the integrated power function may not be supported by all TV makes and models.
,What should I do if the voice button on the remote isn't working?,the voice button doesn't work,the microphone button is unresponsive,speaking into the remote does nothing,voice search isn't working,"Check the microphone permissions or voice service settings. Some models require the remote to be connected via Bluetooth for the voice button to work. Try pairing the remote again, then restart the set-top box and try once more."
,What should I do if I've lost the remote control?,I've lost the remote,I can't find the remote,I've lost it and can't control the box,I need a new remote,"Check whether the set-top box or mobile app supports a remote finder feature. If not, you can temporarily use a mobile remote app, and contact our support team to purchase or replace the remote."
,What should I do if there's no sound from the set-top box?,there's no sound,I can't hear anything,there's no volume,there's no audio,"Check that neither the TV nor the set-top box is muted, and turn up the volume. Reconnect the HDMI cable and reset the set-top box audio output settings to default. If you're using a soundbar, also check its input mode."
,What should I do if the audio and picture are out of sync?,the sound is delayed,the lip sync is off,the audio sync is wrong,the sound lags behind the picture,"Check the audio delay correction settings on the TV or soundbar. Try switching the set-top box audio output to Auto or PCM. If you're using a soundbar, switch to the TV speakers to see whether the delay improves."
,What should I do if there's no sound in one particular app?,there's no sound only in Netflix,YouTube is completely silent,only one app has no audio,there's no sound inside the app,"Check the mute or volume settings within the app, then close the app fully and reopen it. If sound is working normally in other apps or live TV, the issue is likely with that specific app. Try updating the app or restarting the set-top box."
,What should I do if there's no sound from the soundbar?,no sound from the soundbar,the soundbar is connected but silent,there's no sound on the ARC connection,no audio from the speaker bar,"Check that the soundbar is switched on and set to the correct input mode for the connection type (HDMI ARC, optical, or Bluetooth). Reconnect the cable and check the TV's audio output settings."
,What should I do if the Netflix app won't open?,Netflix won't load,Netflix won't launch,the Netflix app won't open,Netflix won't start,"Check the internet connection on the set-top box and close then reopen the Netflix app. If the problem persists, restart the set-top box and check for app updates. Login or payment issues must be resolved separately through your Netflix account."
,What should I do if the YouTube app freezes or closes unexpectedly?,YouTube keeps closing,YouTube freezes,the YouTube app quits,the app crashes mid-video,"Close the YouTube app fully and reopen it, then restart the set-top box. If the internet connection is unstable, video may freeze, so check your Wi-Fi or LAN. If the problem recurs, try clearing the app cache or updating the app."
,What should I do if I can't log in to an app?,I can't log in,app login is failing,the password is correct but login fails,app authentication isn't working,"Double-check your username and password, and verify that the same account works on a mobile phone or PC. If the date and time on the set-top box are incorrect, it may cause login failures. Account lock or payment issues must be resolved through the app's support team."
,What should I do if an app won't install or update?,the app won't install,the update fails,I can't install the app,nothing will download from the store,"Check the storage space and internet connection on the set-top box. If storage is low, delete unused apps or clear the cache, then try again. If updates keep failing, restart the set-top box and try once more."
,How do I update the set-top box software?,where do I update the software?,how do I do a system update?,how do I update the firmware?,where is the update menu?,Go to Device Information or System Update in the set-top box settings. Do not switch off the box or unplug any cables during the update. The set-top box may restart automatically once the update is complete.
,What should I do if the set-top box is slow after an update?,it's sluggish after the update,it slowed down after updating,it's responding slowly since the update,performance dropped after the update,"It's normal for the box to be temporarily slow immediately after an update while apps are being optimised. Wait about 5 minutes, then restart the set-top box. If it remains slow, check storage space and remove any unused apps."
,What should I do if I've forgotten my password?,I've forgotten my password,I can't remember my password,I don't know my login password,I'd like to recover my account password,"Passwords cannot be retrieved directly from the set-top box. Use the forgotten password option in the relevant service, or recover your account from a mobile phone or PC. For data protection reasons, agents are unable to provide your password directly."
,What should I do if the problem isn't resolved after trying the self-help steps?,I've tried everything and it still doesn't work,it still isn't fixed,the problem keeps happening,an error code is showing,"If you've already unplugged the power, checked the HDMI, and restarted the router and set-top box but the problem continues, the device or broadband line may need to be inspected. Note down any error codes shown on screen and contact our support team."
,What kind of company is Marusys?,Tell me about Marusys,What is the website and email of Marusys,Marusys set-top box manufacturer info,How to contact Marusys,"For 28 years, from South Korea to global markets, Marusys has designed and manufactured high-performance set-top boxes, network devices, and AI-powered solutions. Marusys brings people closer to the content and services they love — anytime, anywhere. You can connect via the official website at www.marusys.com or email at sales@marusys.com. The product catalogue landing page is available at https://www.company.com/brochure.pdf."
,Can you explain about the Genie A product?,Tell me about Genie A,Genie A specs and features,Android IPTV box Genie A,What is the size of Genie A,"Genie A is an Android 11-based IPTV/OTT set-top box equipped with AI and Far-Field Voice (FFV) control, manufactured especially for KT. It features a built-in 3W output speaker providing clean voice and is powered by a quad-core Cortex-A55 processor. It includes 3GB DDR4 memory, 16GB eMMC storage, Bluetooth 5.0, HDMI 2.0, USB 2.0 ports, an RJ45 wired LAN port (10/100Mbps), and an S/PDIF light output terminal for digital audio. It boasts a compact design with a size of 135 x 135 x 32.5 mm."
ai_4_vision.png,What are the main functions and specs of AI 4 Vision?,AI 4 Vision specifications,Set-top box with 4K camera,AI 4 Vision NPU performance,SK Broadband AI STB,"AI 4 Vision is an Android-based set-top box featuring an integrated 4K Camera, Far-Field Voice (FFV), and a built-in 7W speaker, manufactured especially for SK Broadband. It delivers powerful AI processing with a 6.75TOPS NPU, Quad-Core Cortex-A73 processor, 4GB LPDDR4x memory, and 32GB eMMC storage. It supports Dolby Vision and HDR 10+ for optimal video calls, and includes Bluetooth 5.2, HDMI 2.1, and USB 3.0. It offers privacy protection via a camera ON/OFF switch and a microphone mute button. The dimensions are 145 x 122.5 x 38mm."
giga_genie_4.png,Please provide information on the Genie 4 product.,Genie 4 performance specs,Genie 4 speaker output,Dolby ATMOS set-top box,Genie 4 OS version and memory,"Genie 4 is a next-generation all-in-one Android-based set-top box featuring Premium AI Technology and Sound System, manufactured especially for KT. It embeds a 20W output speaker and supports Dolby ATMOS and Audio Equalization (EQ). Powered by a Quad-Core Cortex-A76 processor and a 3.2TOPS NPU running Android 14 OS, it includes 6GB LPDDR4x memory and 32GB eMMC storage. It features Dolby Vision, HDR 10+, Bluetooth 5.3, HDMI 2.1, USB 2.0, Gigabit Ethernet, S/PDIF light output, Far-Field Voice (FFV), and an Illumination Sensor. Dimensions are 168 x 128 x 117 mm (main body) and 168 x 168 x 135 mm (with stand)."
soundbar.png,What are the distinctive features of the Sound Bar?,AI Sound Bar info,Sound bar specifications,Sound bar with air quality sensor,Rear speaker sound bar system,"The Sound Bar is an integrated home entertainment device with a front 2.86-inch LCD, built-in QHD camera, Far-Field Voice (FFV), and an advanced audio system comprising 2 x 20W main speakers, 2 x 10W top speakers, 2 x tweeters, and 10W output per separate rear speaker. It supports Android 14, Quad Cortex-A55, 4GB LPDDR4x memory, 32GB eMMC, Wi-Fi 7, Bluetooth 6.0, HDMI 2.1, USB 2.0, and Gigabit Ethernet. It features radar sensors (60GHz), ambient light, and environmental sensors (temperature, humidity, fine dust, CO, CO2, VOC). Supported features include AI Guardian, Security, Call Center, My Team Event, Customization, HQ Video, real-time subtitles, Gesture, and Karaoke. Full set size is 880 x 110.5 x 62mm."
portable_tv.png,What functions does the Moveable 2nd Display TV offer?,Moveable TV specs,27-inch portable smart TV,Dual display moveable monitor,Battery built-in smart display,"The Moveable 2nd Display TV is a premium all-in-one media device featuring a dual-screen configuration: a touch-enabled front 27-inch 4K IPS display (3840x2160) and a rear 23-inch IPS secondary screen (1920x158). It runs on Android 14 with a Quad-Core Cortex-A73 processor, 6.75 TOPS NPU, 4GB LPDDR4x memory, and 32GB eMMC. It includes two built-in speakers (20W total), Far-Field Voice (FFV), microphone buttons, illumination and gyro sensors. Connectivity includes Wi-Fi 6, Bluetooth 5.3, HDMI 2.1, USB 2.0, and Gigabit Ethernet. Powered by a 7.7V/80Wh battery for untethered use, its slim dimensions are 400 x 1185 x 400 mm."
digital_frame.png,Please tell me about the Smart Digital Frame.,Digital frame specs,15.6-inch smart photo frame,Voice controlled digital frame,Smart Digital Frame network options,"The Smart Digital Frame is an Android 11-based smart display featuring a 15.6-inch FHD IPS panel (1920x1080 resolution) and Far-Field Voice (FFV) control. It operates on a Quad Cortex-A55 processor with 3GB DDR4 memory, 16GB eMMC storage, and a built-in 3W speaker. Network connectivity includes Wi-Fi 6 (802.11a/b/g/n/ac/ax 2T2R), Bluetooth 5.2, and an RJ45 10/100Mbps wired LAN port, providing a reliable and clear multimedia viewing experience from multiple angles."
