image,question_1,question_2,question_3,question_4,question_5,answer
,Que faire si mon décodeur ne s'allume pas ?,l'alimentation ne se met pas en marche,ma box ne s'allume pas,aucun voyant sur le décodeur,j'appuie sur le bouton marche mais rien ne se passe,"Vérifiez que l'adaptateur secteur est bien branché à la prise murale et à l'arrière du décodeur. Si vous utilisez une multiprise, vérifiez son interrupteur, puis débranchez le câble d'alimentation et rebranchez-le après 10 secondes. Si le voyant d'alimentation ne s'allume toujours pas, une vérification par notre équipe d'assistance est nécessaire."
,Que faire si mon décodeur redémarre sans cesse ?,la box s'éteint et se rallume sans arrêt,elle redémarre pendant le démarrage,elle redémarre en permanence,l'alimentation s'enclenche puis se coupe immédiatement,"Vérifiez la connexion du câble d'alimentation et de l'adaptateur, et assurez-vous que le décodeur est suffisamment ventilé. En cas de surchauffe, éteignez l'appareil et laissez-le refroidir 5 minutes avant de le rallumer. Si le problème persiste, l'adaptateur ou l'appareil devra peut-être être contrôlé."
,Que faire si le voyant est allumé mais que l'écran TV reste noir ?,l'alimentation est active mais pas d'image,le voyant de la box est allumé mais la TV est noire,elle semble avoir démarré mais pas d'image,l'alimentation est normale mais pas de signal d'entrée,"Assurez-vous que l'entrée de votre téléviseur est réglée sur le port HDMI auquel le décodeur est connecté. Débranchez et rebranchez le câble HDMI, puis redémarrez le téléviseur et le décodeur. Si l'écran reste noir, essayez un autre port ou câble HDMI."
,Que faire lorsque la TV affiche 'Aucun signal d'entrée' ?,le message 'aucun signal d'entrée' s'affiche,pas de signal affiché,la TV indique qu'il n'y a pas de signal,message HDMI pas de signal,"Appuyez sur le bouton d'entrée de la télécommande TV et sélectionnez l'entrée HDMI sur laquelle le décodeur est connecté. Vérifiez que le câble HDMI n'est pas mal branché, puis éteignez et rallumez le décodeur. Si vous disposez de plusieurs ports HDMI, essayez-en un autre."
,Que faire si l'image se fige ou se pixelise ?,l'image s'est figée,l'image se pixelise,l'écran saccade,la chaîne se fige en cours de diffusion,"Redémarrez le décodeur et le routeur dans l'ordre. Débranchez le routeur, attendez 10 secondes, rebranchez-le, puis une fois la connexion internet rétablie, redémarrez le décodeur. Si le problème ne survient que sur une chaîne ou une application précise, il peut s'agir d'une panne de service."
,Que faire si l'écran est noir mais que le son fonctionne ?,il y a du son mais l'écran est noir,juste un écran noir,j'entends l'audio mais pas d'image,l'écran semble éteint,"Vérifiez la connexion du câble HDMI et le réglage de l'entrée du téléviseur. La résolution du décodeur est peut-être réglée sur une valeur non prise en charge par le téléviseur — redémarrez le décodeur et réinitialisez les paramètres d'affichage par défaut. Si le problème persiste, essayez un autre câble HDMI."
,Que faire si l'image ne remplit pas l'écran de la TV ?,l'image est coupée,ça ne remplit pas l'écran TV,les côtés sont coupés,ça ressemble à de la surabondance,"Vérifiez le réglage du format d'image ou de la résolution dans le menu du décodeur. Consultez également les paramètres de taille d'image, de surabondance et de mode image natif de votre téléviseur. Si l'image est toujours coupée après les modifications, redémarrez les deux appareils."
,Que faire si l'image UHD ou 4K n'est pas disponible ?,pas d'image en 4K,la qualité UHD n'est pas disponible,je n'arrive pas à avoir la haute définition,la résolution semble faible,"Vérifiez si votre téléviseur et votre câble HDMI prennent en charge l'UHD ou la 4K. Dans les paramètres d'affichage du décodeur, réglez la résolution sur Auto ou 4K et connectez le décodeur à un port HDMI compatible 4K. Si le contenu lui-même ne prend pas en charge l'UHD, il sera lu en qualité standard."
,Que faire si mon décodeur ne se connecte pas au Wi-Fi ?,je n'arrive pas à me connecter au Wi-Fi,internet sans fil ne fonctionne pas,le mot de passe Wi-Fi n'est pas accepté,je n'arrive pas à me connecter au routeur,"Vérifiez que le Wi-Fi est activé dans les paramètres du décodeur, puis saisissez à nouveau le nom du réseau et le mot de passe. Si le routeur est trop éloigné, rapprochez-vous et réessayez. Si ça ne fonctionne toujours pas, redémarrez le routeur et tentez une nouvelle connexion."
,Que faire si la connexion internet se coupe fréquemment ?,internet se coupe tout le temps,la connexion s'interrompt pendant que je regarde la TV,le Wi-Fi est instable,le réseau se déconnecte en permanence,"Redémarrez le routeur et le décodeur, et connectez si possible l'appareil via un câble ethernet pour vérifier la stabilité. Si vous utilisez le Wi-Fi, réduisez les obstacles entre le routeur et le décodeur, et choisissez la bande la plus stable entre 5 GHz et 2,4 GHz."
,Que faire si une connexion LAN filaire ne fonctionne pas ?,le câble ethernet ne se connecte pas,internet filaire ne fonctionne pas,l'ethernet n'est pas détecté,le câble LAN est branché mais pas de connexion,"Assurez-vous que le câble ethernet est bien branché dans le routeur et le décodeur. Essayez un autre port ou remplacez le câble. Si le problème persiste après le redémarrage du routeur, la ligne internet ou l'équipement devra peut-être être vérifié."
,Que faire si une appli s'ouvre mais que la vidéo ne se lance pas ?,l'appli s'ouvre mais la vidéo ne charge pas,Netflix s'ouvre mais ne lance pas la lecture,YouTube s'ouvre mais les vidéos ne démarrent pas,seule la vidéo ne se lance pas,"Vérifiez d'abord votre connexion internet, puis redémarrez le décodeur et le routeur. Si le problème se limite à une seule appli, fermez-la complètement et rouvrez-la, et vérifiez les mises à jour disponibles. Si la lecture échoue sur plusieurs applis, une panne réseau est probable."
,Que faire si la vidéo est en permanence en mémoire tampon ?,il y a beaucoup de mise en mémoire tampon,la vidéo s'interrompt sans arrêt,c'est trop long pour démarrer,les contenus HD se chargent en permanence,"Vérifiez si plusieurs appareils utilisent internet en même temps. Si vous utilisez le Wi-Fi, rapprochez le décodeur du routeur ou connectez-le via ethernet. Si la mise en mémoire tampon ne survient qu'avec des contenus HD, essayez de réduire temporairement la qualité."
,Que faire si les boutons de la télécommande ne fonctionnent pas ?,la télécommande ne fonctionne pas,j'appuie sur les boutons mais rien ne se passe,la télécommande ne répond pas,je ne peux pas contrôler l'appareil avec la télécommande,"Remplacez les piles de la télécommande par des neuves et vérifiez que le décodeur est allumé. Retirez les objets qui pourraient bloquer le récepteur infrarouge à l'avant du décodeur. S'il s'agit d'une télécommande Bluetooth, il faudra peut-être l'appairer à nouveau."
,Que faire si l'appairage de la télécommande échoue ?,la télécommande ne se connecte pas,ma télécommande Bluetooth ne s'enregistre pas,l'appairage échoue en permanence,la télécommande n'est pas reconnue,"Placez la télécommande près du décodeur et appuyez à nouveau sur la combinaison de touches d'appairage. Si la connexion est perturbée, redémarrez le décodeur et recommencez l'appairage. Un niveau de pile faible peut également faire échouer l'appairage — essayez de nouvelles piles."
,Que faire si la télécommande n'allume pas le téléviseur ?,la télécommande n'allume pas la TV,le bouton d'alimentation TV ne fait rien,le contrôle d'alimentation intégré ne fonctionne pas,la télécommande du décodeur n'allume pas la TV,La télécommande est peut-être configurée pour ne contrôler que l'alimentation du décodeur. Vérifiez le contrôle d'alimentation TV ou les paramètres de télécommande universelle dans le menu du décodeur. Notez que la fonction d'alimentation intégrée peut ne pas être prise en charge par tous les marques et modèles de TV.
